ID,areaPath,severity,createdDate,environment,resolvedReason,resolvedDate,daysToFix
35629,Transaction Broker\Valhalla,3 - Medium,2020-09-24T17:42:26.537Z,qa,Fixed and verified,2020-09-24T19:45:39.083Z,0
59960,Superdigital\Services\Services - Wakanda,3 - Medium,2021-02-19T16:18:50.137Z,qa,Fixed,2021-02-19T16:34:31.18Z,0
4950,Clients Channel\Onboarding (OB),4 - Low,2020-01-28T14:01:31.663Z,NA,Fixed,2020-07-20T12:53:33.093Z,124
9848,Clients Channel\Onboarding (OB),4 - Low,2020-03-13T19:53:33.003Z,NA,NA,NA,-1
9417,Clients Channel\Onboarding (OB),2 - High,2020-03-09T16:55:10.133Z,NA,Fixed and verified,2020-04-06T13:06:50.46Z,20
50972,Transaction Broker\Valhalla,3 - Medium,2020-12-28T14:30:32.207Z,staging,Fixed and verified,2021-01-04T18:37:57.363Z,5
64041,Superdigital\Onboarding\Onboarding - Patomba,3 - Medium,2021-03-13T18:25:49.697Z,staging,Fixed,2021-03-16T12:21:42.407Z,1
20814,Superdigital\Payment Account,3 - Medium,2020-06-17T19:18:37.43Z,NA,Fixed,2020-06-26T21:59:27.72Z,7
9523,Superdigital\Payment Account,3 - Medium,2020-03-10T17:45:09.443Z,NA,Fixed and verified,2020-07-24T18:18:05.417Z,98
36589,Clients Channel\Onboarding (OB),3 - Medium,2020-09-30T19:48:16.99Z,qa,Fixed and verified,2020-10-01T13:13:59.323Z,1
21002,Superdigital\Payment Account,3 - Medium,2020-06-18T11:49:47.313Z,NA,Fixed,2020-07-02T22:40:55.707Z,10
51094,Superdigital\Payment Account,3 - Medium,2020-12-29T18:55:44.923Z,development,Fixed,2020-12-29T19:13:28.313Z,0
30848,Superdigital\Payment Account,3 - Medium,2020-08-24T17:49:11.62Z,NA,Obsolete,2020-08-26T12:45:30.877Z,2
15529,Clients Channel\Onboarding (OB),4 - Low,2020-05-13T12:39:42.877Z,NA,Fixed and verified,2020-06-04T13:42:49.347Z,16
3823,Business Customer Channels,3 - Medium,2020-01-15T14:49:05.653Z,NA,Fixed and verified,2020-02-04T20:30:59.68Z,14
33144,Superdigital\Payment Account,3 - Medium,2020-09-07T21:04:19.08Z,qa,Fixed and verified,2020-09-08T13:11:01.71Z,1
30855,Superdigital\Payment Account,4 - Low,2020-08-24T18:31:15.82Z,NA,Fixed,2020-08-24T18:52:44.987Z,0
54950,Superdigital\PJ\Payroll,3 - Medium,2021-01-26T11:15:17.563Z,development,Fixed,2021-01-26T20:19:32.46Z,0
45616,Superdigital\Payment Account,3 - Medium,2020-11-25T13:47:26.41Z,qa,Fixed,2020-12-03T12:58:12.153Z,6
59026,Superdigital\Payment Account\Ninjas,3 - Medium,2021-02-12T17:53:14.95Z,staging,Fixed,2021-02-12T18:19:03.863Z,0
30475,Superdigital\Payment Account,4 - Low,2020-08-20T13:42:17.367Z,NA,Fixed,2020-08-21T19:13:52.043Z,1
18741,Superdigital\Payment Account,4 - Low,2020-06-04T21:30:44.043Z,NA,NA,NA,-1
23422,Superdigital\Cross Development,3 - Medium,2020-07-03T13:02:57.817Z,NA,NA,NA,-1
59468,Superdigital\Payment Account\Pampas,3 - Medium,2021-02-17T20:32:50.523Z,qa,Fixed,2021-02-18T12:31:53.593Z,1
14397,Superdigital\Cards,3 - Medium,2020-05-04T20:56:47.84Z,NA,Fixed,2020-05-12T14:31:28.967Z,6
58989,Client Support,3 - Medium,2021-02-12T15:37:40.497Z,qa,NA,NA,-1
50487,Superdigital\PJ\Payroll,3 - Medium,2020-12-21T18:27:03.223Z,development,Fixed,2020-12-24T12:06:54.863Z,3
5520,Business Customer Channels,3 - Medium,2020-01-31T13:34:32.26Z,NA,Fixed and verified,2020-02-04T20:59:34.463Z,2
18375,Clients Channel\Onboarding (OB),2 - High,2020-06-02T18:27:48.697Z,NA,Fixed,2020-06-16T13:48:00.433Z,10
54435,Superdigital\Payment Account\Ninjas,3 - Medium,2021-01-21T19:31:51.923Z,development,Fixed,2021-01-21T19:41:14.38Z,0
43732,Transaction Broker - PIX Brasil,3 - Medium,2020-11-13T18:24:46.897Z,production,Fixed and verified,2020-11-13T18:28:42.603Z,0
18545,Superdigital\Cards,3 - Medium,2020-06-03T17:41:30.48Z,NA,Fixed,2020-06-04T15:16:57.26Z,1
55522,Superdigital\Onboarding\Onboarding - Patomba,2 - High,2021-01-28T13:55:51.467Z,production,Fixed,2021-01-28T17:11:24.867Z,0
18765,Superdigital\Payment Account,3 - Medium,2020-06-04T22:31:21.787Z,NA,Fixed and verified,2020-06-22T17:45:44.9Z,12
11783,Superdigital\Cards,3 - Medium,2020-04-08T20:48:32.013Z,NA,Fixed,2020-04-14T20:54:24.19Z,4
15836,Superdigital\Cards,3 - Medium,2020-05-15T01:05:15.04Z,NA,Fixed,2020-05-25T21:37:16.477Z,6
3402,Business Customer Channels,3 - Medium,2020-01-06T17:45:57.337Z,NA,Fixed,2020-01-08T16:07:31.437Z,2
3141,Clients Channel\Onboarding (OB),3 - Medium,2019-12-23T18:24:15.67Z,NA,Fixed,2020-01-02T17:17:16.677Z,8
31964,Clients Channel,3 - Medium,2020-08-31T18:43:40.65Z,qa,Fixed,2020-09-02T12:52:46.47Z,2
43496,Transaction Broker - PIX Brasil,3 - Medium,2020-11-12T13:58:53.32Z,development,Fixed,2020-11-18T12:49:32.613Z,4
28626,Clients Channel,1 - Critical,2020-08-06T20:09:24.85Z,qa,Fixed,2020-08-07T14:59:14.403Z,1
35013,Superdigital\Payment Account,2 - High,2020-09-18T17:41:23.47Z,qa,Fixed,2020-10-07T17:38:42.623Z,13
4094,Superdigital\Payment Account,3 - Medium,2020-01-17T15:28:57.87Z,NA,Fixed,2020-01-23T20:30:58.633Z,4
35699,Superdigital\Payment Account,3 - Medium,2020-09-25T12:28:30.857Z,development,Fixed and verified,2020-09-25T15:27:16.59Z,0
43369,Client Support,3 - Medium,2020-11-11T19:29:41.35Z,production,NA,NA,-1
29055,Clients Channel,3 - Medium,2020-08-11T15:09:05.883Z,NA,Fixed and verified,2020-08-13T16:00:30.267Z,2
37367,Superdigital\PJ\Payroll,3 - Medium,2020-10-07T18:47:52.133Z,qa,Fixed and verified,2020-10-21T13:02:08.967Z,10
16009,Clients Channel\Onboarding (OB),3 - Medium,2020-05-15T18:56:51.82Z,NA,Fixed and verified,2020-06-10T13:17:09.457Z,18
43812,Transaction Broker - PIX Brasil,3 - Medium,2020-11-15T12:43:40.29Z,development,Fixed and verified,2020-11-24T21:01:34.373Z,6
14488,Superdigital\Cards,3 - Medium,2020-05-04T21:43:47.107Z,NA,Fixed,2020-05-21T17:11:42.21Z,13
4603,Clients Channel\Onboarding (OB),4 - Low,2020-01-22T22:17:54.15Z,NA,Fixed,2020-05-15T16:06:56.2Z,82
39436,Clients Channel\Onboarding (OB),4 - Low,2020-10-21T13:31:57.957Z,production,Fixed and verified,2020-11-04T20:56:54.56Z,10
43363,Client Support,3 - Medium,2020-11-11T19:20:57.5Z,production,Fixed and verified,2020-12-02T19:59:22.757Z,15
38376,Clients Channel,3 - Medium,2020-10-14T14:34:19.547Z,qa,Fixed,2020-10-16T19:27:55.307Z,2
1012,Business Customer Channels,3 - Medium,2019-10-17T17:05:02.543Z,NA,Fixed and verified,2020-02-05T14:57:13.307Z,79
45037,Transaction Broker - PIX Brasil,3 - Medium,2020-11-20T16:31:13.403Z,development,Fixed,2020-11-23T20:35:32.203Z,1
58708,Superdigital\Payment Account,3 - Medium,2021-02-11T19:11:38.723Z,qa,NA,NA,-1
27456,Superdigital\Payment Account,3 - Medium,2020-07-30T14:45:39.863Z,NA,Fixed and verified,2020-07-31T15:17:42.367Z,1
54394,Superdigital\Interop\Interop - Blinders,2 - High,2021-01-21T15:00:09.187Z,production,Fixed,2021-01-22T12:50:14.26Z,1
35786,Superdigital\Payment Account,3 - Medium,2020-09-25T18:02:23.527Z,qa,Fixed,2020-09-28T17:49:19.92Z,1
28463,Superdigital\Payment Account,2 - High,2020-08-05T18:23:02.43Z,NA,Fixed,2020-08-06T12:36:07.887Z,1
28515,Clients Channel\Authentication (AU),3 - Medium,2020-08-05T20:11:07.623Z,NA,Fixed,2020-08-26T20:39:23.903Z,15
17636,Clients Channel\Onboarding (OB),3 - Medium,2020-05-27T19:21:11.267Z,NA,Fixed,2020-06-11T20:27:05.63Z,11
58934,Superdigital\Payment Account\Pampas,3 - Medium,2021-02-12T13:02:58.4Z,development,Fixed,2021-02-23T20:05:56.61Z,7
2519,Business Customer Channels,3 - Medium,2019-12-05T14:56:06.68Z,NA,Fixed and verified,2019-12-05T18:37:04.547Z,0
24990,Clients Channel\Onboarding (OB),3 - Medium,2020-07-13T20:35:09.753Z,NA,Fixed and verified,2020-07-15T20:44:07.703Z,2
8346,Clients Channel\Cash Out (COUT),3 - Medium,2020-02-27T22:44:41.223Z,qa,Fixed and verified,2020-09-21T19:22:04.973Z,147
58717,Superdigital\Payment Account,3 - Medium,2021-02-11T19:11:38.723Z,qa,NA,NA,-1
52765,Superdigital\Services\Services - La Minuta,3 - Medium,2021-01-12T01:44:10.743Z,staging,Fixed,2021-01-19T19:23:33.95Z,5
19731,Superdigital\Payment Account,3 - Medium,2020-06-10T10:38:03.927Z,NA,Fixed and verified,2020-06-10T19:48:29.07Z,0
59554,Superdigital\Payment Account\Ninjas,3 - Medium,2021-02-18T13:26:44.133Z,development,Fixed,2021-02-18T13:43:43.1Z,0
54389,Superdigital\Cards,2 - High,2021-01-21T14:47:51.23Z,production,Fixed,2021-01-21T19:18:23.543Z,0
3920,Clients Channel\Onboarding (OB),3 - Medium,2020-01-16T13:34:02.81Z,NA,Fixed,2020-02-12T14:30:13.437Z,19
24701,Superdigital\Payment Account,1 - Critical,2020-07-09T21:30:35.013Z,NA,Fixed,2020-07-13T20:07:36.697Z,2
24725,Superdigital\Cards,3 - Medium,2020-07-10T13:34:12.463Z,NA,Fixed and verified,2020-07-13T13:02:52.017Z,1
63407,Superdigital\PJ\Onboarding,3 - Medium,2021-03-10T18:02:01.847Z,development,NA,NA,-1
21792,Clients Channel\Onboarding (OB),2 - High,2020-06-23T14:26:42.007Z,NA,Fixed,2020-06-25T13:52:53.107Z,2
57932,Superdigital\Payment Account,3 - Medium,2021-02-08T20:02:48.61Z,qa,NA,NA,-1
46150,Superdigital\PJ\Payroll,3 - Medium,2020-11-26T19:57:13.2Z,qa,Fixed and verified,2020-12-04T00:04:25.173Z,6
58085,Superdigital\Onboarding\Onboarding - Patomba,3 - Medium,2021-02-09T14:14:46.54Z,development,Fixed,2021-02-09T14:17:51.487Z,0
27656,Superdigital\Payment Account,3 - Medium,2020-07-31T18:32:08.647Z,NA,Fixed and verified,2020-08-03T18:36:38.04Z,1
2719,Business Customer Channels,3 - Medium,2019-12-09T19:53:01.39Z,qa,Obsolete,2020-09-22T14:34:27.127Z,206
14161,Superdigital\Cross Development,3 - Medium,2020-04-30T13:49:12.657Z,NA,Fixed and verified,2020-05-07T16:41:07.203Z,5
67129,Superdigital\Payment Account\Pampas,3 - Medium,2021-03-26T21:01:49.793Z,development,Fixed,2021-03-29T18:23:52.923Z,1
4083,Superdigital\Payment Account,3 - Medium,2020-01-17T13:50:40.873Z,NA,Fixed and verified,2020-02-20T15:19:08.113Z,24
2522,Business Customer Channels,3 - Medium,2019-12-05T15:09:00.913Z,NA,Fixed,2019-12-06T13:37:36.75Z,1
19732,Superdigital\Payment Account,3 - Medium,2020-06-10T10:41:44.17Z,NA,Obsolete,2020-06-12T16:42:58.747Z,2
61085,Superdigital\Payment Account\Ninjas,3 - Medium,2021-02-24T22:55:41.447Z,development,Fixed,2021-03-08T21:42:06.85Z,8
21250,Superdigital\Cross Development,3 - Medium,2020-06-19T16:08:35.837Z,NA,Fixed and verified,2020-06-24T19:00:27.12Z,3
14075,Superdigital\Payment Account,3 - Medium,2020-04-29T16:38:38.043Z,NA,Fixed and verified,2020-05-04T20:59:57.62Z,3
15745,Clients Channel\Onboarding (OB),3 - Medium,2020-05-14T16:04:14.797Z,NA,Fixed,2020-05-27T13:41:51.077Z,9
43343,Transaction Broker - PIX Brasil,3 - Medium,2020-11-11T18:53:25.197Z,qa,Fixed,2020-11-23T17:54:21.583Z,8
59962,Superdigital\Payment Account\Ninjas,3 - Medium,2021-02-19T16:41:28.01Z,development,Fixed,2021-02-26T12:54:23.42Z,5
67381,Superdigital\Services\Services - Wakanda,3 - Medium,2021-03-29T14:10:37.53Z,qa,Fixed and verified,2021-05-03T17:48:42.567Z,25
27060,Clients Channel,3 - Medium,2020-07-28T15:08:52.4Z,NA,Fixed,2020-07-28T17:10:37.59Z,0
58618,Superdigital\Payment Account\Quantum,3 - Medium,2021-02-11T17:24:16.61Z,qa,NA,NA,-1
43987,Superdigital\Payment Account,3 - Medium,2020-11-16T22:58:38.203Z,qa,Fixed,2020-11-17T15:23:28.29Z,1
35494,Clients Channel\Cash Out (COUT),3 - Medium,2020-09-23T14:13:01.05Z,staging,Fixed,2020-09-28T15:27:09.35Z,3
10660,Clients Channel\Onboarding (OB),3 - Medium,2020-03-26T18:45:44.117Z,NA,Fixed,2020-03-26T21:46:31.14Z,0
18664,Superdigital\Payment Account,3 - Medium,2020-06-04T16:37:52.1Z,NA,NA,NA,-1
18764,Superdigital\Payment Account,3 - Medium,2020-06-04T22:29:38.27Z,NA,Fixed and verified,2020-06-22T17:45:27.067Z,12
8436,Clients Channel\Onboarding (OB),3 - Medium,2020-02-28T21:16:48.763Z,NA,Fixed,2020-03-10T21:22:17.81Z,7
31208,Clients Channel\Home (HO),3 - Medium,2020-08-26T15:14:49.96Z,NA,Fixed,2020-09-01T14:20:37.373Z,4
5015,Clients Channel\Onboarding (OB),4 - Low,2020-01-28T18:06:00.637Z,NA,Fixed,2020-05-08T21:02:06.42Z,73
43362,Client Support,2 - High,2020-11-11T19:19:37.55Z,production,Fixed and verified,2020-11-27T21:27:52.697Z,12
29258,Clients Channel\Onboarding (OB),4 - Low,2020-08-13T18:20:36.817Z,NA,NA,NA,-1
21213,Superdigital\Cross Development,3 - Medium,2020-06-19T14:45:55.497Z,NA,Fixed and verified,2020-06-24T19:00:06.107Z,3
35288,Clients Channel,3 - Medium,2020-09-22T14:11:39.05Z,staging,Fixed,2020-12-03T14:49:57.857Z,52
27030,Clients Channel,3 - Medium,2020-07-28T13:12:07.967Z,NA,Fixed and verified,2020-07-28T13:12:22.437Z,0
7421,Clients Channel\Onboarding (OB),3 - Medium,2020-02-17T20:59:36.333Z,NA,Fixed and verified,2020-03-02T19:53:50.643Z,10
32442,Clients Channel,3 - Medium,2020-09-02T14:37:54.3Z,qa,Fixed,2020-09-02T18:37:33.92Z,0
20902,Superdigital\Payment Account,3 - Medium,2020-06-17T22:57:52.277Z,qa,Fixed,2020-06-19T14:38:16.07Z,2
3296,Clients Channel\Onboarding (OB),4 - Low,2020-01-02T19:42:40.2Z,NA,Fixed and verified,2020-01-31T20:21:34.65Z,21
14422,Superdigital\Cards,3 - Medium,2020-05-04T21:14:11.17Z,NA,Fixed,2020-05-13T20:31:47.167Z,7
52091,Superdigital\Payment Account\Ninjas,3 - Medium,2021-01-07T21:03:49.403Z,development,Fixed,2021-01-07T22:16:22.41Z,0
18441,Superdigital\Payment Account,3 - Medium,2020-06-02T22:33:03.747Z,qa,Fixed,2020-06-24T20:34:56.203Z,16
43650,Superdigital\Cards,3 - Medium,2020-11-13T13:32:03.757Z,qa,Fixed and verified,2020-11-17T18:32:46.44Z,2
11341,Superdigital\Cards,3 - Medium,2020-04-02T19:02:55.683Z,NA,Fixed,2020-04-06T19:57:38.793Z,2
43818,Transaction Broker - PIX Brasil,3 - Medium,2020-11-15T17:10:50.843Z,development,NA,NA,-1
66852,Superdigital\Onboarding\Onboarding - Patomba,3 - Medium,2021-03-25T21:41:18.27Z,production,Fixed,2021-03-25T21:53:05.143Z,0
61558,Superdigital\Payment Account\Ninjas,3 - Medium,2021-03-01T15:13:55.14Z,development,Fixed,2021-03-03T17:55:55.09Z,2
11230,Clients Channel\Onboarding (OB),3 - Medium,2020-04-01T21:08:53.44Z,NA,Fixed,2020-04-17T16:06:27.32Z,12
5366,Business Customer Channels,3 - Medium,2020-01-29T20:18:50Z,NA,Fixed and verified,2020-01-29T20:19:12.693Z,0
3371,Superdigital\Payment Account,3 - Medium,2020-01-06T13:22:11.36Z,NA,Fixed,2020-01-10T19:44:15.613Z,4
48826,Transaction Broker - PIX Brasil,3 - Medium,2020-12-12T02:58:56.277Z,production,NA,NA,-1
35672,Superdigital\Payment Account,3 - Medium,2020-09-24T21:13:01.817Z,qa,Fixed and verified,2020-09-24T22:03:39.79Z,0
28340,Superdigital\Payment Account,3 - Medium,2020-08-05T14:08:23.563Z,NA,Fixed,2020-08-07T18:56:40.06Z,2
15572,Superdigital\Payment Account,3 - Medium,2020-05-13T14:32:29.69Z,NA,Fixed,2020-05-15T17:34:48.42Z,2
53425,Superdigital\Cards,3 - Medium,2021-01-15T13:24:00.717Z,staging,Fixed,2021-01-19T17:03:48.633Z,2
2950,Business Customer Channels,3 - Medium,2019-12-13T19:58:04.17Z,NA,Fixed,2020-01-23T16:01:36.07Z,29
24924,Superdigital\Payment Account,3 - Medium,2020-07-13T17:44:56.95Z,NA,Fixed,2020-07-14T16:39:06.68Z,1
36363,Clients Channel,3 - Medium,2020-09-29T16:05:16.687Z,qa,Fixed,2020-10-13T21:30:24.67Z,10
54341,Superdigital\Cards,2 - High,2021-01-21T12:29:08.627Z,production,Fixed,2021-01-22T13:27:43.87Z,1
18760,Superdigital\Payment Account,3 - Medium,2020-06-04T22:20:33.87Z,NA,Fixed and verified,2020-06-22T17:44:34.837Z,12
29268,Clients Channel,3 - Medium,2020-08-13T19:40:17.02Z,NA,Fixed,2020-08-14T14:59:19.793Z,1
36531,Transaction Broker\El10,3 - Medium,2020-09-30T14:44:07.663Z,development,Fixed,2020-09-30T18:45:54.58Z,0
53275,Superdigital\Interop\Interop - Blinders,3 - Medium,2021-01-14T18:25:28.737Z,staging,Fixed,2021-01-14T18:25:32.997Z,0
20310,Superdigital\Cards,3 - Medium,2020-06-12T20:39:54.647Z,NA,Fixed,2020-06-18T13:35:47.733Z,4
35497,Transaction Broker\El10,3 - Medium,2020-09-23T14:17:06.067Z,staging,Fixed,2020-10-09T16:10:41.15Z,12
11890,Superdigital\Payment Account,3 - Medium,2020-04-09T17:07:19.02Z,NA,Obsolete,2020-04-14T15:50:09.507Z,3
25337,Superdigital\Cards,3 - Medium,2020-07-16T13:54:31.7Z,NA,Fixed,2020-07-16T14:21:20.297Z,0
4583,Clients Channel\Onboarding (OB),4 - Low,2020-01-22T21:27:09.447Z,NA,Obsolete,2020-05-08T19:14:57.833Z,77
43303,Transaction Broker - PIX Brasil,3 - Medium,2020-11-11T16:14:45.83Z,development,Fixed,2020-11-12T22:05:18.137Z,1
5620,Clients Channel,3 - Medium,2020-02-01T01:49:52.163Z,NA,Fixed,2020-02-04T14:06:53.66Z,1
31575,Clients Channel\Cash Out (COUT),3 - Medium,2020-08-28T12:46:21.943Z,qa,Fixed,2020-11-13T16:50:58.34Z,55
36564,Superdigital\Payment Account,3 - Medium,2020-09-30T18:10:12.213Z,qa,Fixed,2020-09-30T21:39:51.333Z,0
51332,Brazil Migration\Core_Migration,3 - Medium,2020-12-31T12:01:25.347Z,development,Fixed,2021-01-05T13:42:26.747Z,3
21268,Superdigital\Payment Account,3 - Medium,2020-06-19T17:41:00.17Z,NA,Fixed,2020-06-24T20:03:13.053Z,3
32460,Superdigital\Payment Account,3 - Medium,2020-09-02T16:03:46.993Z,development,Fixed,2020-09-03T21:17:47.243Z,1
30103,Clients Channel,1 - Critical,2020-08-18T18:52:53.587Z,qa,Fixed,2020-08-18T19:24:51.117Z,0
54766,Superdigital\Onboarding\Onboarding - Patomba,3 - Medium,2021-01-23T12:31:37.577Z,qa,Fixed,2021-01-25T12:06:05.597Z,0
37447,Clients Channel\Onboarding (OB),3 - Medium,2020-10-07T23:02:03.08Z,development,Fixed,2020-10-08T03:35:45.08Z,1
16995,Superdigital\Payment Account,1 - Critical,2020-05-22T19:05:18.177Z,NA,Fixed and verified,2020-06-04T13:17:57.093Z,9
25794,Superdigital\Payment Account,3 - Medium,2020-07-20T17:31:49.567Z,NA,Fixed and verified,2020-07-21T12:54:57.697Z,1
54786,Superdigital\Onboarding\Onboarding - Patomba,3 - Medium,2021-01-24T16:51:32.697Z,staging,Fixed,2021-01-25T18:17:20.93Z,0
31016,Superdigital\Payment Account,3 - Medium,2020-08-25T12:36:13.917Z,NA,Obsolete,2020-08-26T12:41:36.333Z,1
24153,Superdigital\Payment Account,3 - Medium,2020-07-07T14:43:09.763Z,NA,Fixed,2020-07-07T17:08:58.503Z,0
46736,Transaction Broker - PIX Brasil,3 - Medium,2020-12-02T12:15:25.113Z,development,NA,NA,-1
5001,Clients Channel\Onboarding (OB),4 - Low,2020-01-28T17:20:02.627Z,NA,Fixed,2020-05-08T20:52:16.68Z,73
3886,Business Customer Channels,3 - Medium,2020-01-15T17:11:19.113Z,development,NA,NA,-1
5283,Clients Channel\Onboarding (OB),4 - Low,2020-01-29T01:44:04.427Z,NA,Fixed and verified,2020-08-14T19:30:02.623Z,142
2956,Business Customer Channels,3 - Medium,2019-12-13T20:49:53.24Z,NA,Fixed and verified,2019-12-19T19:43:15.49Z,4
54395,Superdigital\Cards,3 - Medium,2021-01-21T15:01:20.357Z,production,Fixed,2021-01-21T19:18:15.843Z,0
33522,Superdigital\Payment Account,3 - Medium,2020-09-10T14:06:31.06Z,qa,Fixed,2020-09-14T21:59:37.543Z,2
37336,Superdigital\PJ\Payroll,3 - Medium,2020-10-07T15:32:09.527Z,qa,Fixed and verified,2020-10-19T13:21:22.787Z,8
48934,Superdigital\Services\Services - La Minuta,3 - Medium,2020-12-14T13:23:47.557Z,development,Fixed and verified,2020-12-14T18:04:43.83Z,0
50974,Transaction Broker\Charruas,3 - Medium,2020-12-28T14:33:51.01Z,qa,NA,NA,-1
56711,Superdigital\PJ\Payroll,3 - Medium,2021-02-03T20:55:48.957Z,development,Fixed,2021-02-04T20:44:02.177Z,1
54761,Superdigital\Payment Account\Ninjas,3 - Medium,2021-01-22T21:23:16.583Z,production,Fixed,2021-01-22T21:36:45.893Z,0
6108,Business Customer Channels,1 - Critical,2020-02-05T20:05:00.88Z,NA,Fixed and verified,2020-03-12T15:18:09.657Z,26
54932,Superdigital\Onboarding\Onboarding - Patomba,3 - Medium,2021-01-25T20:19:58.597Z,staging,Fixed,2021-01-27T19:57:49.08Z,2
29173,Clients Channel,3 - Medium,2020-08-12T18:51:14.82Z,NA,Fixed,2020-08-17T14:02:56.1Z,3
11223,Clients Channel\Onboarding (OB),2 - High,2020-04-01T20:58:45.853Z,NA,Fixed,2020-04-03T19:45:44.353Z,2
3370,Superdigital\Payment Account,3 - Medium,2020-01-06T13:18:28.8Z,NA,Fixed,2020-01-10T19:44:15.613Z,4
3975,Clients Channel\Onboarding (OB),2 - High,2020-01-16T18:19:34.6Z,NA,Fixed and verified,2020-01-31T20:22:10.767Z,11
39801,Superdigital\Payment Account,3 - Medium,2020-10-23T17:29:19.57Z,development,Fixed,2020-10-26T13:30:19.493Z,1
11582,Superdigital\Cards,3 - Medium,2020-04-06T19:45:47.78Z,NA,Fixed and verified,2020-04-08T15:23:30.637Z,2
51471,Superdigital\Payment Account\Pampas,3 - Medium,2021-01-04T18:22:15.493Z,development,Fixed,2021-01-05T12:34:42.277Z,1
12770,Superdigital\Cards,3 - Medium,2020-04-16T22:07:52.967Z,NA,Fixed,2020-04-17T16:03:01.933Z,1
19742,Superdigital\Payment Account,3 - Medium,2020-06-10T11:26:26.827Z,NA,Fixed and verified,2020-06-18T13:16:26.147Z,6
53812,Superdigital\Services\Services - La Minuta,3 - Medium,2021-01-19T16:36:56.167Z,staging,Fixed,2021-01-20T12:52:03.577Z,1
10351,Superdigital\Cards,1 - Critical,2020-03-19T15:48:35.103Z,NA,Fixed,2020-03-28T21:45:02.757Z,7
19804,Superdigital\Payment Account,3 - Medium,2020-06-10T16:55:22.323Z,NA,Fixed,2020-07-01T12:48:59.69Z,15
23451,Clients Channel\Authentication (AU),3 - Medium,2020-07-03T14:05:59.16Z,NA,Fixed,2020-07-07T21:26:42.23Z,2
